SQA,Project ID,Application,Deliverable,Doc Version,"Doc ID, if needed","Approve or 
Disapprove?",Date of Approval or Disapproval,Reason for Disapproval,Comments
Nick,750.011,AFMS,Test Protocol Results,2,1,A-FP,21-Feb-2018,,
Nick,750.011,AFMS,User Acceptance Protocol results,5,8,A-FP,21-Feb-2018,,
Nick,928.008,Apollo/PHM,Test Protocol Results,1,1,A,21-Feb-2018,,
Nick,750.011,AFMS,Traceability,9,1,A,21-Feb-2018,,
Nick,ePAS 18-5882,Metrics Library,System Certification Summary,1,,A-FP,22-Feb-2018,,
Nick,750.011,AFMS,Test Protocol,3,1,A-FP,22-Feb-2018,,
Nick,928.008,Apollo/PHM,System Certification Summary,1,1,D,22-Feb-2018,Inaccurate information,
Nick,928.008,Apollo/PHM,System Certification Summary,1,1,A,22-Feb-2018,,
Nick,750.011,AFMS,Test Protocol Results,2,2,A-FP,22-Feb-2018,,
Nick,581.024,TODS,Test Protocol Results,1,1,A-FP,22-Feb-2018,,
Nick,581.024,TODS,Test Protocol Results,1,2,D,22-Feb-2018,Not compliant with procedure,
Nick,581.024,TODS,Test Protocol Results,1,2,A,23-Feb-2018,,
Nick,750.011,AFMS,Test Protocol,3,2,A-FP,23-Feb-2018,,
Nick,750.011,AFMS,ISSD,1,1,D,23-Feb-2018,Inaccurate information,
Nick,750.011,AFMS,IDP,1,1,A,23-Feb-2018,,
Nick,496.019,Navigator,Cancellation,1,1,A-FP,23-Feb-2018,,
Nick,750.011,AFMS,ISSD,1,1,D,23-Feb-2018,Inaccurate information,
Nick,686.024,Navigator,Cancellation,1,1,A-FP,23-Feb-2018,,
Nick,750.011,AFMS,System Certification Summary,1,1,D,23-Feb-2018,Inaccurate information,
Nick,750.011,AFMS,ISSD,1,1,A,23-Feb-2018,,
Nick,750.011,AFMS,System Certification Summary,1,1,A,23-Feb-2018,,
Wayne,1104.000,Assay File Database,Project Plan,1,,D,24-Feb-2018,Not compliant with procedure,
Wayne,055.041,eNovator,ISSD,1,,D,20-Feb-2018,Not compliant with procedure,
Wayne,936.000,TrendReader,IIVP,2,,A-FP,19-Feb-2018,,
Wayne,936.000,TrendReader,IIVP results,1,,A-FP,23-Feb-2018,,
Beilah,01033.013,Pulse,Test Protocol,4,Operations Manuals_OUS_Protocol - v4,A-FP,23-Feb-2018,,Link to parent
Beilah,01033.013,Pulse,Test Protocol,2,Q Tech Distributor Portal Operations Manuals OUS_v2,A-FP,23-Feb-2018,Inaccurate information,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS WorkStation v9.3 - SligoDB Migration testing,D,23-Feb-2018,Insufficient testing,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS WorkStation v9.3 - SligoDB Migration validation testing: ADDIE6D006303L,A,26-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS WorkStation v9.3 - SligoDB Migration validation testing: ADDULCD772728L,A-FP,26-Feb-2018,,
Beilah,01033.013,Pulse,Software Change Request,2,Software Change Request_v2,A-FP,26-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,Installation Instructions and Verification Protocol- Instrument Server-v9.3: ADDULCD706358T,A-FP,26-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,Installation Instructions and Verification Protocol - WWLIMS Supplemental Items v9.3: ADDULCD878490T,A-FP,26-Feb-2018,,
Beilah,01033.013,Pulse,Design Verification,1,,A-FP,26-Feb-2018,,
Beilah,01033.013,Pulse,CII,1,,A-FP,26-Feb-2018,,
Beilah,01107.000,WWLIMS,IIVP results,1,Installation Instructions and Verification Protocol - Instrument Manager Service- v9.21 - Sligo DB Migration: Addulcd772228,A-FP,26-Feb-2018,,
Beilah,01107.000,WWLIMS,IIVP results,1,Installation Instructions and Verification Protocol - Task Items: ABTAPA3290 (sligo),A-FP,26-Feb-2018,,
Beilah,01107.000,WWLIMS,User Acceptance Protocol results,1,Test Protocol - Task Items Test Protocol - SLG Validation ABTAPA3290,A-FP,26-Feb-2018,,
Beilah,01107.000,WWLIMS,Test Protocol Results,1,Test Protocol - Instrument Server Test Protocol ADDULCD706358T (sligo),A-FP,26-Feb-2018,,
Beilah,01107.000,WWLIMS,Test Protocol Results,11,Test Protocol - TCINT_05 ADDIE6D006303L )Sligo),A-FP,26-Feb-2018,,
Beilah,01033.013,Pulse,Test Protocol,2,Q Tech Distributor Portal Operations Manuals OUS_v2,A-FP,26-Feb-2018,,link to parent
Beilah,01033.013,Pulse,Traceability,12,URS/FRS to Test Protocol Trace - v12 01038,A-FP,26-Feb-2018,,
Beilah,01033.013,Pulse,Traceability,7,URS/FRS to Test Protocol Trace - v12 01037,A-FP,26-Feb-2018,,
Beilah,00303.099,DFCS,IIVP results,5,Installation Instructions and verification Protocol – Prod,A-FP,27-Feb-2018,,
Beilah,01107.000,WWLIMS,Test Protocol Results,1.1,Test Protocol - IMS Test Protocol_Sligo DB Migration,A-FP,27-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS Supplemental Items v9.3: Prod ADDULCD896266,A-FP,28-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS WorkStation v9.3 - LC Prod Multi computers,A-FP,28-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,Instrument Server-v9.3 prod multi computers,A-FP,28-Feb-2018,,
Beilah,00332.019,EDMS,Design Verification,1,EDMS-Satish Unit Testing,A-FP,28-Feb-2018,,
Beilah,00849.009,PEAR,Design Verification,1,Design Verification Sravani Unit Testing,A-FP,28-Feb-2018,,
Beilah,01033.013,Pulse,IIVP results,1,Installation Instructions and Verification Protocol_Val: e4b6d81,A-FP,28-Feb-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS WorkStation v9.3 - LC Prod,D,1-Mar-2018,Inaccurate information,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS WorkStation v9.3 - LC Prod,A,1-Mar-2018,,
Beilah,01033.013,Pulse,Test Protocol Results,4,Hospital Dashboard_Protocol_v4,A-FP,1-Mar-2018,,
Beilah,01033.013,Pulse,Test Protocol Results,1,OUS Emp TL_Protocol,A-FP,1-Mar-2018,,
Nick,ePAS 18-4636,Metrics Library,Project Plan,1,,A-FP,26-Feb-2018,,
Nick,ePAS 14-8099 V8.0,GS Reports,Project Plan,1,,A-FP,27-Feb-2018,,
Nick,589.05,CMSNext,Test Protocol,1,8,D,1-Mar-2018,Insufficient traceability,
Nick,589.05,CMSNext,Test Protocol,1,8,A,1-Mar-2018,,
Nick,589.05,CMSNext,Test Protocol Results,1,8,A-FP,2-Mar-2018,,
Nick,589.05,CMSNext,Test Protocol Results,1,6,A-FP,2-Mar-2018,,
Nick,589.05,CMSNext,Test Protocol Results,1,5,A-FP,2-Mar-2018,,
Nick,589.05,CMSNext,Test Protocol Results,1,4,A-FP,2-Mar-2018,,
Nick,589.05,CMSNext,Test Protocol Results,1,3,A-FP,2-Mar-2018,,
Nick,ePAS 17-39843 v2,GS Reports,Move to Production,1,,A-FP,2-Mar-2018,,
Nick,ePAS 18-6950 V1,GS Reports,Move to Production,1,,A-FP,2-Mar-2018,,
Nick,589.05,CMSNext,Test Protocol Results,1,1,A-FP,2-Mar-2018,,
Nick,589.05,CMSNext,Test Protocol Results,1,2,A-FP,2-Mar-2018,,
Nick,589.05,CMSNext,Test Protocol Results,1,7,A-FP,2-Mar-2018,,
Nick,589.05,CMSNext,Release Notes,1,1,D,2-Mar-2018,Inaccurate information,
Nick,589.05,CMSNext,Release Notes,1,1,D,2-Mar-2018,Inaccurate information,
Nick,589.05,CMSNext,System Certification Summary,1,1,D,2-Mar-2018,Inaccurate information,
Nick,589.05,CMSNext,Release Notes,1,1,A,2-Mar-2018,,
Nick,ePAS 18-5711 V1,GS Reports,Move to Production,1,,A-FP,2-Mar-2018,,
Nick,589.05,CMSNext,System Certification Summary,1,1,A,2-Mar-2018,,
